"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL1108";"DROPERIDOL";"4";"379.44";"0";"3.68";"Droperidol";"O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1";"Inhibition index";"'='";"0.6144";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1691";"BETAXOLOL HYDROCHLORIDE";"4";"343.90";"0";"2.39";"Betaxolol hydrochloride";"CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl";"Inhibition index";"'='";"0.6286";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1370";"BUDESONIDE";"4";"430.54";"0";"2.72";"Budesonide";"CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1";"Inhibition index";"'='";"0.726";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL2105891";"PHYSOSTIGMINE SULFATE";"4";"648.78";"0";"1.77";"Eserine hemisulfate salt";"CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=S(=O)(O)O";"Inhibition index";"'='";"0.2252";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1558";"PRAZOSIN HYDROCHLORIDE";"4";"419.87";"0";"1.78";"Prazosin hydrochloride";"COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl";"Inhibition index";"'='";"0.05812";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL917";"FLOXURIDINE";"4";"246.19";"0";"-1.68";"Floxuridine";"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F";"Inhibition index";"'='";"-0.1159";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL70927";"DEFERIPRONE";"4";"139.15";"0";"0.40";"Deferiprone";"Cc1c(O)c(=O)ccn1C";"Inhibition index";"'='";"0.1991";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1607273";"CETIRIZINE HYDROCHLORIDE";"4";"461.82";"0";"3.15";"Cetirizine dihydrochloride";"Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1";"Inhibition index";"'='";"0.09157";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1091";"HYDROCORTISONE ACETATE";"4";"404.50";"0";"2.35";"Cortisol acetate";"CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C";"Inhibition index";"'='";"0.145";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1477274";"MEPTAZINOL HYDROCHLORIDE";"4";"269.82";"0";"3.16";"Meptazinol hydrochloride";"CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl";"Inhibition index";"'='";"1.137";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1200386";"PREDNICARBATE";"4";"488.58";"0";"3.70";"Prednicarbate";"CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C";"Inhibition index";"'='";"1.368";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL557555";"CIPROFIBRATE";"4";"289.16";"0";"3.59";"Ciprofibrate";"CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O";"Inhibition index";"'='";"0.8498";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1200474";"DEMECLOCYCLINE HYDROCHLORIDE";"4";"501.32";"1";"0.26";"Demeclocycline hydrochloride";"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl";"Inhibition index";"'='";"0.02253";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1557167";"";"0";"261.37";"0";"4.21";"Norcyclobenzaprine";"CNCCC=C1c2ccccc2C=Cc2ccccc21";"Inhibition index";"'='";"-0.1158";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1201103";"METHOXAMINE HYDROCHLORIDE";"4";"247.72";"0";"1.08";"Methoxamine hydrochloride";"COc1ccc(OC)c(C(O)C(C)N)c1.Cl";"Inhibition index";"'='";"0.01818";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1876082";"PRONETALOLHYDROCHLORIDE";"0";"265.78";"0";"2.87";"Pronethalol hydrochloride";"CC(C)NCC(O)c1ccc2ccccc2c1.Cl";"Inhibition index";"'='";"0.8858";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1643";"RIBAVIRIN";"4";"244.21";"0";"-3.01";"Ribavirin";"NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1";"Inhibition index";"'='";"0.527";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL3039178";"";"0";"396.49";"0";"4.35";"Quinine ethyl carbonate";"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12";"Inhibition index";"'='";"0.6435";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1414320";"SUXIBUZONE";"0";"438.48";"0";"3.57";"Suxibuzone";"CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O";"Inhibition index";"'='";"0.01764";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1200980";"ESTROPIPATE";"4";"436.57";"0";"3.29";"Estropipate piperazine salt";"C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O";"Inhibition index";"'='";"0.01357";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1234";"DEFEROXAMINE MESYLATE";"4";"656.80";"2";"0.92";"Deferoxamine mesylate";"CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O";"Inhibition index";"'='";"-0.0003225";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
"CHEMBL1318296";"";"0";"315.25";"0";"1.66";"Amprolium hydrochloride";"CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-]";"Inhibition index";"'='";"0.006304";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303819";"Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs";"F";"BAO_0000218";"organism-based format";"Chlorocebus aethiops";"None";"None";"Vero C1008";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303097";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4295411"
